sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"ARR_DATA(I)","Integral(5.44040184,5.39316392)","","Integral(5.26046627,5.21905797)","","Integral(4.67084105,4.62131936)","","Integral(4.01091143,3.98242444)","",
111,10011.00000000,45.15812003,0.00000000,1.10099985,0.00000000,0.15984180,0.00000000,2.99068001,0.00000000,
112,10099.00000000,45.19967806,0.00000000,1.11514911,0.00000000,0.16099631,0.00000000,3.16485404,0.00000000,
113,10189.00000000,43.66486701,0.00000000,1.10824827,0.00000000,0.16298146,0.00000000,3.14857851,0.00000000,
114,10281.00000000,45.07062870,0.00000000,1.08165205,0.00000000,0.15953647,0.00000000,2.97886460,0.00000000,
115,10371.00000000,45.05834915,0.00000000,1.16945561,0.00000000,0.16614712,0.00000000,3.35552858,0.00000000,
116,10461.00000000,44.91916136,0.00000000,1.14094525,0.00000000,0.17331193,0.00000000,3.20048305,0.00000000,
117,10551.00000000,44.82456101,0.00000000,1.13686403,0.00000000,0.16951770,0.00000000,3.06398311,0.00000000,
118,10644.00000000,44.81398352,0.00000000,1.10668999,0.00000000,0.17346147,0.00000000,2.89002651,0.00000000,
119,10736.00000000,44.78462942,0.00000000,1.10763848,0.00000000,0.17177971,0.00000000,3.48275308,0.00000000,
120,10827.00000000,43.40516815,0.00000000,1.16084438,0.00000000,0.16774182,0.00000000,3.33146543,0.00000000,
121,10917.00000000,44.76523092,0.00000000,1.17107017,0.00000000,0.18452692,0.00000000,3.33110298,0.00000000,
122,11007.00000000,43.25169248,0.00000000,1.17018464,0.00000000,0.17867330,0.00000000,3.30424017,0.00000000,
123,11095.00000000,40.87600663,0.00000000,1.17361827,0.00000000,0.18927767,0.00000000,3.50508314,0.00000000,
124,11188.00000000,40.80778935,0.00000000,1.22876148,0.00000000,0.19135600,0.00000000,3.17289147,0.00000000,
125,11277.00000000,44.52317111,0.00000000,1.18230599,0.00000000,0.18412140,0.00000000,3.16955848,0.00000000,
126,11365.00000000,44.41620746,0.00000000,1.20014909,0.00000000,0.19106227,0.00000000,3.51118776,0.00000000,
127,11462.00000000,42.81842786,0.00000000,1.14740650,0.00000000,0.18535746,0.00000000,3.37281072,0.00000000,
128,11552.00000000,44.40068749,0.00000000,1.19975215,0.00000000,0.19333425,0.00000000,3.81456410,0.00000000,
129,11645.00000000,44.18078539,0.00000000,1.21432036,0.00000000,0.19047399,0.00000000,3.48887854,0.00000000,
130,11739.00000000,40.78221301,0.00000000,1.24669463,0.00000000,0.18205380,0.00000000,3.70977313,0.00000000,
131,11833.00000000,44.20941081,0.00000000,1.22014109,0.00000000,0.20226050,0.00000000,3.58522810,0.00000000,
132,11926.00000000,44.15106466,0.00000000,1.22581166,0.00000000,0.20369397,0.00000000,3.77451659,0.00000000,
133,12016.00000000,42.64239844,0.00000000,1.23578566,0.00000000,0.19770385,0.00000000,3.35977861,0.00000000,
134,12108.00000000,43.97176160,0.00000000,1.26403703,0.00000000,0.20656274,0.00000000,3.82865722,0.00000000,
135,12197.00000000,43.93044867,0.00000000,1.24153233,0.00000000,0.20121790,0.00000000,3.61746818,0.00000000,
136,12287.00000000,43.82390432,0.00000000,1.32353956,0.00000000,0.20467157,0.00000000,4.05206180,0.00000000,
137,12380.00000000,42.49011907,0.00000000,1.25991508,0.00000000,0.20563459,0.00000000,3.92542985,0.00000000,
138,12470.00000000,43.81483148,0.00000000,1.28276253,0.00000000,0.20455864,0.00000000,4.05579812,0.00000000,
139,12562.00000000,40.07236154,0.00000000,1.20738823,0.00000000,0.20852683,0.00000000,3.83849472,0.00000000,
140,12653.00000000,43.66834760,0.00000000,1.27841547,0.00000000,0.22220260,0.00000000,3.87910957,0.00000000,
141,12744.00000000,42.21050441,0.00000000,1.27743670,0.00000000,0.21615304,0.00000000,3.57918523,0.00000000,
142,12837.00000000,40.07092714,0.00000000,1.23742492,0.00000000,0.21963192,0.00000000,3.71059816,0.00000000,
143,12929.00000000,41.99630671,0.00000000,1.33151267,0.00000000,0.21746165,0.00000000,3.83413368,0.00000000,
144,13019.00000000,43.48111018,0.00000000,1.29291216,0.00000000,0.22271461,0.00000000,4.27897637,0.00000000,
145,13111.00000000,41.95662843,0.00000000,1.31039998,0.00000000,0.22704602,0.00000000,4.15477338,0.00000000,
