#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(1.36000000,1.16000000)","",
184,183.00000000,247.04863247,0.00000000,0.00000000,0.00000000,171.34848485,0.00000000,69.15480971,0.00000000,
185,184.00000000,246.36249786,0.00000000,0.00000000,0.00000000,171.43742929,0.00000000,72.42161569,0.00000000,
186,185.00000000,246.92492090,0.00000000,0.00000000,0.00000000,171.70755620,0.00000000,71.40159902,0.00000000,
187,186.00000000,247.37842731,0.00000000,0.00000000,0.00000000,171.21163728,0.00000000,69.95246342,0.00000000,
188,187.00000000,246.60559722,0.00000000,0.00000000,0.00000000,171.36226297,0.00000000,69.56916737,0.00000000,
189,188.00000000,245.84213691,0.00000000,0.00000000,0.00000000,170.07106678,0.00000000,69.16137471,0.00000000,
190,189.00000000,247.05132082,0.00000000,0.00000000,0.00000000,171.09321408,0.00000000,68.62976146,0.00000000,
191,190.00000000,246.16406477,0.00000000,0.00000000,0.00000000,170.26066579,0.00000000,70.69125710,0.00000000,
192,191.00000000,247.15311479,0.00000000,0.00000000,0.00000000,171.17535862,0.00000000,70.13032500,0.00000000,
193,192.00000000,246.05169621,0.00000000,0.00000000,0.00000000,170.77553270,0.00000000,68.57750833,0.00000000,
194,193.00000000,245.17861974,0.00000000,0.00000000,0.00000000,170.26904713,0.00000000,70.99970155,0.00000000,
195,194.00000000,245.88181738,0.00000000,0.00000000,0.00000000,170.55627584,0.00000000,70.00922966,0.00000000,
196,195.00000000,246.34754408,0.00000000,0.00000000,0.00000000,170.99516092,0.00000000,71.53326052,0.00000000,
197,196.00000000,244.37237902,0.00000000,0.00000000,0.00000000,169.66739977,0.00000000,71.03894219,0.00000000,
198,197.00000000,245.51670776,0.00000000,0.00000000,0.00000000,170.21796174,0.00000000,70.90744348,0.00000000,
199,198.00000000,245.05149308,0.00000000,0.00000000,0.00000000,170.40739525,0.00000000,71.36750244,0.00000000,
200,199.00000000,245.07968762,0.00000000,0.00000000,0.00000000,170.59448033,0.00000000,70.65007783,0.00000000,
201,200.00000000,246.20785235,0.00000000,0.00000000,0.00000000,170.49370091,0.00000000,71.90968004,0.00000000,
202,201.00000000,244.54105339,0.00000000,0.00000000,0.00000000,170.58862027,0.00000000,72.07754396,0.00000000,
203,202.00000000,245.89596625,0.00000000,0.00000000,0.00000000,170.64783312,0.00000000,71.18389844,0.00000000,
204,203.00000000,245.40849030,0.00000000,0.00000000,0.00000000,170.55337416,0.00000000,70.70322225,0.00000000,
205,204.00000000,244.89760810,0.00000000,0.00000000,0.00000000,170.02438482,0.00000000,70.04349490,0.00000000,
206,205.00000000,245.51681922,0.00000000,0.00000000,0.00000000,170.60566926,0.00000000,69.87865980,0.00000000,
207,206.00000000,245.29815511,0.00000000,0.00000000,0.00000000,170.31658569,0.00000000,71.18640982,0.00000000,
208,207.00000000,244.83978911,0.00000000,0.00000000,0.00000000,170.29688192,0.00000000,71.16514718,0.00000000,
209,208.00000000,244.88298906,0.00000000,0.00000000,0.00000000,169.93486406,0.00000000,68.52530535,0.00000000,
210,209.00000000,244.91581308,0.00000000,0.00000000,0.00000000,170.61832729,0.00000000,69.51626832,0.00000000,
211,210.00000000,244.96796819,0.00000000,0.00000000,0.00000000,170.31112730,0.00000000,70.30960288,0.00000000,
212,211.00000000,244.57446519,0.00000000,0.00000000,0.00000000,170.22165467,0.00000000,69.78782807,0.00000000,
213,212.00000000,244.90101940,0.00000000,0.00000000,0.00000000,170.48882619,0.00000000,71.33851298,0.00000000,
214,213.00000000,244.72350309,0.00000000,0.00000000,0.00000000,170.13415238,0.00000000,71.23863797,0.00000000,
215,214.00000000,245.05092037,0.00000000,0.00000000,0.00000000,170.65635541,0.00000000,71.74738820,0.00000000,
216,215.00000000,243.88971977,0.00000000,0.00000000,0.00000000,170.23347428,0.00000000,71.65897835,0.00000000,
217,216.00000000,244.73821261,0.00000000,0.00000000,0.00000000,170.38510477,0.00000000,69.22832009,0.00000000,
218,217.00000000,244.70630510,0.00000000,0.00000000,0.00000000,169.81792293,0.00000000,69.58979430,0.00000000,
219,218.00000000,244.45486548,0.00000000,0.00000000,0.00000000,170.44550035,0.00000000,70.04949139,0.00000000,
220,219.00000000,244.22843441,0.00000000,0.00000000,0.00000000,170.19562924,0.00000000,71.76506691,0.00000000,
221,220.00000000,243.72005959,0.00000000,0.00000000,0.00000000,170.00146655,0.00000000,70.37474956,0.00000000,
222,221.00000000,244.28904044,0.00000000,0.00000000,0.00000000,170.56786131,0.00000000,71.44806373,0.00000000,
223,222.00000000,243.88636839,0.00000000,0.00000000,0.00000000,169.98688844,0.00000000,72.58263788,0.00000000,
224,223.00000000,242.93874435,0.00000000,0.00000000,0.00000000,169.47354641,0.00000000,73.10933603,0.00000000,
225,224.00000000,243.63905080,0.00000000,0.00000000,0.00000000,170.01275131,0.00000000,71.52592137,0.00000000,
226,225.00000000,244.76669687,0.00000000,0.00000000,0.00000000,170.00843626,0.00000000,71.48090551,0.00000000,
227,226.00000000,244.10988473,0.00000000,0.00000000,0.00000000,169.76639394,0.00000000,70.33504264,0.00000000,
228,227.00000000,242.54989480,0.00000000,0.00000000,0.00000000,168.70651965,0.00000000,70.78675421,0.00000000,
229,228.00000000,242.99391057,0.00000000,0.00000000,0.00000000,169.69948264,0.00000000,72.30774563,0.00000000,
230,229.00000000,242.53286314,0.00000000,0.00000000,0.00000000,169.01308750,0.00000000,70.63871671,0.00000000,
231,230.00000000,242.42863705,0.00000000,0.00000000,0.00000000,169.46370116,0.00000000,71.37784669,0.00000000,
232,231.00000000,242.36484386,0.00000000,0.00000000,0.00000000,169.05143568,0.00000000,71.45130801,0.00000000,
233,232.00000000,242.24538913,0.00000000,0.00000000,0.00000000,168.85309923,0.00000000,70.93709531,0.00000000,
234,233.00000000,241.43808221,0.00000000,0.00000000,0.00000000,167.89695212,0.00000000,72.52383498,0.00000000,
235,234.00000000,241.70319044,0.00000000,0.00000000,0.00000000,168.86048821,0.00000000,71.32701443,0.00000000,
236,235.00000000,242.72562435,0.00000000,0.00000000,0.00000000,169.26958441,0.00000000,73.02266065,0.00000000,
237,236.00000000,242.62264524,0.00000000,0.00000000,0.00000000,169.25607532,0.00000000,72.97288305,0.00000000,
238,237.00000000,242.70537406,0.00000000,0.00000000,0.00000000,169.36127448,0.00000000,72.72763186,0.00000000,
239,238.00000000,242.05344228,0.00000000,0.00000000,0.00000000,168.85848780,0.00000000,73.82902708,0.00000000,
