;produkt;produkt;produkt;produkt;silan;silan;silan;heksen;heksen;heksen;heksen;heksen;all;product sum;silane sum;hexene sum
czas (s);Integral(3,343730,3,256018);Integral(3,722376,3,681636);Integral(3,756886,3,722376);Integral(4,078496,3,994139);Integral(3,406997,3,343730);Integral(3,832615,3,756886);Integral(6,564104,6,422073);Integral(3,679897,3,599926);Integral(4,129027,4,079348);Integral(4,857709,4,668059);Integral(7,838666,7,616258);Integral(8,647265,8,440374);Integral(10,387961,2,952301);;;
400;191,453;76,8711;278,471;238,687;423,244;607,459;77,0559;301,301;186,744;204,305;180,298;76,0984;6878,91;785,4821;1107,7589;948,7464
405;194,917;76,8349;281,159;238,339;422,072;603,271;76,6159;303,781;184,877;203,295;179,191;74,2397;6869,74;791,2499;1101,9589;945,3837
410;196,177;77,9907;280,452;238,669;421,447;601,798;76,2909;304,016;184,41;202,994;178,785;73,9948;6855,46;793,2887;1099,5359;944,1998
415;189,625;75,4025;278,861;237,272;422,559;607,261;75,9932;299,963;186,446;203,216;178,305;74,1395;6845,22;781,1605;1105,8132;942,0695
420;193,353;77,1266;279,519;238,375;421,609;603,761;76,2505;302,299;185,407;203,339;178,567;73,8978;6844,97;788,3736;1101,6205;943,5098
425;197,03;78,0925;281,834;239,906;420,07;600,11;76,246;304,204;183,8;203,436;178,186;73,1496;6847,03;796,8625;1096,426;942,7756
430;193,051;77,2104;279,486;238,556;422,355;604,926;76,3506;302,351;185,844;203,607;179,093;74,8184;6857,59;788,3034;1103,6316;945,7134
435;193,504;77,5491;278,986;238,972;422,663;604,957;76,6615;303,525;185,859;203,991;179,528;74,5596;6860,06;789,0111;1104,2815;947,4626
440;191,371;76,7934;278,313;237,482;422,592;606,228;76,2167;301,665;186,095;203,221;178,985;74,5065;6849,22;783,9594;1105,0367;944,4725
445;200,122;78,4196;282,954;239,446;419,301;597,76;76,1969;304,927;182,478;202,554;178,677;73,9167;6854,13;800,9416;1093,2579;942,5527
450;197,482;77,8742;282,515;239,115;419,934;599,639;76,1565;304,72;183,856;203,027;178,5;73,7232;6850,54;796,9862;1095,7295;943,8262
455;196,018;78,0338;280,983;239,104;419,909;600,511;76,0632;303,462;184,317;203,264;178,008;73,6578;6840,5;794,1388;1096,4832;942,7088
460;194,671;77,2926;281,158;239,118;419,72;601,177;76,1702;302,024;184,483;203,357;178,622;74,2555;6842,34;792,2396;1097,0672;942,7415
465;189,278;76,3231;277,267;237,167;423,39;608,886;76,0432;300,182;187,223;203,714;179,015;74,7031;6847,25;780,0351;1108,3192;944,8371
470;185,637;74,7389;276,036;236,026;424,526;612,3;76,1451;296,944;188,139;203,592;179,107;75,7022;6845,04;772,4379;1112,9711;943,4842
475;192,318;78,2829;278,395;238,01;421,966;604,954;76,2666;300,797;185,808;203,739;178,452;74,1477;6845,06;787,0059;1103,1866;942,9437
480;195,975;78,7771;280,151;238,177;420,812;601,334;76,3466;303,234;184,276;202,916;178,489;73,7534;6846;793,0801;1098,4926;942,6684
485;196,534;78,1703;281,284;238,85;419,083;600,85;76,0404;302,279;183,899;203,05;177,997;73,6715;6842,55;794,8383;1095,9734;940,8965
490;190,662;76,3049;278,484;236,929;421,971;606,237;75,9273;300,093;186,21;203,353;178,008;74,4588;6833,54;782,3799;1104,1353;942,1228
495;197,924;78,3403;281,935;239,235;419,61;599,184;76,0196;305,249;183,577;203,201;177,962;73,2326;6842,17;797,4343;1094,8136;943,2216
500;204,011;80,1066;283,263;239,38;418,656;593,306;76,1614;308,779;181,249;201,766;178,626;74,0445;6845,91;806,7606;1088,1234;944,4645
505;200,428;79,1811;282,102;238,279;419,437;597,055;75,8063;305,181;182,082;201,756;177,726;73,5931;6832,94;799,9901;1092,2983;940,3381
510;199,276;78,417;282,281;238,386;417,924;597,141;75,4951;304,214;182,253;201,566;177,184;73,3701;6817,9;798,36;1090,5601;938,5871
515;186,261;75,3413;274,822;234,91;423,033;609,744;75,2314;298,013;186,788;202,483;176,854;73,9106;6794,49;771,3343;1108,0084;938,0486
520;188,134;76,0898;275,888;235,838;423,086;608,921;75,6336;298,229;186,787;203,089;177,456;74,1282;6810,17;775,9498;1107,6406;939,6892
525;192,636;77,2744;278,414;238,347;421,642;604,745;76,0917;301,999;185,556;203,271;178,332;74,4668;6830,3;786,6714;1102,4787;943,6248
530;190,639;76,7567;276,928;236,523;422,943;607,221;75,8592;301,409;186,389;203,134;177,804;74,0605;6823,15;780,8467;1106,0232;942,7965
535;196,421;78,4226;280,24;238,332;419,852;600,315;75,8285;303,871;183,782;202,683;177,295;72,6643;6819,81;793,4156;1095,9955;940,2953
540;191,3;76,1243;278,82;237,353;420,935;604,335;75,7031;299,119;185,447;202,671;177,08;73,1712;6809,54;783,5973;1100,9731;937,4882
545;193,066;76,4936;279,798;237,1;420,709;604,016;75,5954;300,89;184,672;202,572;177,408;72,8078;6817,37;786,4576;1100,3204;938,3498
550;192,63;77,0171;279,216;237,771;421,055;604,161;75,5265;300,179;185,138;202,759;176,949;73,2402;6813,15;786,6341;1100,7425;938,2652
555;198,146;78,4726;282,087;238,958;418,055;597,381;75,4949;303,254;182,753;202,049;176,55;72,3054;6805,26;797,6636;1090,9309;936,9114
560;190,439;76,3844;277,236;235,692;422,074;606,502;75,3009;300,144;185,477;202,463;176,74;73,0659;6798,15;779,7514;1103,8769;937,8899
565;198,226;78,2454;281,898;238,182;418,684;597,735;75,3806;303,892;182,592;201,88;176,649;72,0195;6803,33;796,5514;1091,7996;937,0325
570;189,566;76,5462;277,241;236,265;421,921;606,503;75,42;298,513;185,951;202,808;177,088;73,7862;6798,79;779,6182;1103,844;938,1462
575;196,602;78,889;279,861;237,728;419,507;599,528;75,3525;303,561;183,396;202,016;176,459;72,194;6796,78;793,08;1094,3875;937,626
580;197,765;78,9398;281,154;237,482;418,611;598,032;75,4469;303,806;182,569;201,651;176,595;72,4613;6802,06;795,3408;1092,0899;937,0823
585;190,906;76,7921;278,511;236,98;420,859;605,183;75,483;299,211;185,546;202,768;177,044;73,259;6802,21;783,1891;1101,525;937,828
590;194,407;77,9664;279,569;237,603;419,669;601,747;75,326;301,205;184,422;202,54;176,694;72,5362;6800,06;789,5454;1096,742;937,3972
595;194,105;77,6202;279,02;236,463;420,256;602,321;75,2842;301,54;184,087;202,07;176,148;72,2018;6793,69;787,2082;1097,8612;936,0468
600;187,775;76,5476;274,803;235,263;422,158;608,223;75,2042;297,968;186,28;202,442;176,4;73,8996;6781,26;774,3886;1105,5852;936,9896
605;199,144;78,694;281,406;238,245;417,495;595,484;75,2568;303,862;182,012;201,535;176,206;72,4415;6788,65;797,489;1088,2358;936,0565
610;186,464;76,8806;273,598;234,356;423,431;610,133;75,0647;297,951;186,991;202,46;176,434;73,5049;6783,47;771,2986;1108,6287;937,3409
615;189,944;76,7174;276,66;236,097;420,47;605,239;75,0785;299,257;185,511;202,508;176,115;73,0181;6779,45;779,4184;1100,7875;936,4091
620;192,979;78,2838;276,92;236,143;419,713;602,24;74,8608;300,841;184,112;201,615;175,349;71,7731;6772,02;784,3258;1096,8138;933,6901
625;201,361;80,85;280,41;237,346;416,96;593,542;75,0715;305,361;180,986;200,749;175,788;72,6089;6781,01;799,967;1085,5735;935,4929
630;199,159;79,9618;279,704;236,334;417,63;596,044;75,0332;302,584;181,713;200,801;175,611;72,0079;6774,64;795,1588;1088,7072;932,7169
635;196,281;79,5191;277,026;236,82;420,105;601,01;75,4053;303,389;183,535;201,845;176,294;72,4508;6791,3;789,6461;1096,5203;937,5138
640;188,614;76,7083;274,103;235,47;421,754;607,472;75,383;299,298;186,232;202,435;176,902;73,6108;6787,1;774,8953;1104,609;938,4778
645;196,53;79,4862;277,044;237,621;418,654;599,912;75,2683;303,806;183,09;201,823;175,758;71,8731;6782,97;790,6812;1093,8343;936,3501
650;189,499;77,494;273,632;235,217;420,507;605,782;74,9642;298,597;185,009;201,481;175,283;72,5635;6763,82;775,842;1101,2532;932,9335
655;186,525;75,9437;273,366;233,658;421,475;607,985;74,4596;296,94;186,001;201,456;174,875;72,4663;6754,23;769,4927;1103,9196;931,7383
