0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,silan,silan,silan,penten,penten,penten,penten,produkt suma,silan suma,penten suma,cale widmo
,Y ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,,,,
czas (s),"Integral(0.636757,0.572970)","Integral(0.889757,0.814595)","Integral(0.982024,0.932107)","Integral(1.046604,0.985144)","Integral(1.263743,1.196043)","Integral(1.345170,1.269046)","Integral(1.458730,1.384479)","Integral(1.549517,1.479633)","Integral(1.635311,1.553885)","Integral(0.708841,0.638108)","Integral(1.108528,1.048454)","Integral(3.920281,3.598789)","Integral(1.012637,0.971353)","Integral(1.685043,1.598012)","Integral(2.106522,1.964386)","Integral(5.596931,5.302060)",,,,"Integral(7.350003,0.326339)"
255,304.501,1.70936,93.4054,1252.74,12.6433,10.4227,5.25715,6.19444,7.69216,674.415,600.903,149.319,424.03,421.678,269.941,235.836,1694.56551,1424.637,1351.485,5956.1
260,306.182,2.08665,93.0805,1249.47,12.5726,10.4648,5.33994,5.8752,7.64627,674.433,597.437,149.357,425.437,421.331,269.699,235.929,1692.71796,1421.227,1352.396,5957.75
265,305.105,1.85982,92.2661,1247.77,13.3508,11.1301,5.07208,6.20076,7.3789,675.945,598.147,149.155,422.877,421.22,269.851,235.68,1690.13356,1423.247,1349.628,5959.9
270,307.834,2.26175,94.4126,1252.18,13.3922,11.017,4.96688,6.63059,7.95187,673.105,594.935,149.289,425.961,421.327,269.464,235.459,1700.64689,1417.329,1352.211,5961.34
275,306.258,2.07219,92.5239,1248.53,13.3065,11.2112,5.55676,6.35693,7.78694,674.796,598.226,148.964,425.124,421.261,269.479,235.565,1693.60242,1421.986,1351.429,5961.08
280,305.493,2.25343,93.2255,1248.04,12.8443,10.435,5.41016,6.3528,7.81031,675.826,600.403,148.899,423.991,420.821,268.842,235.351,1691.8645,1425.128,1349.005,5960.32
285,305.614,2.36551,93.429,1248.17,13.1286,10.9218,5.76623,6.84811,7.88965,675.536,599.288,148.975,423.19,420.676,269.201,234.936,1694.1329,1423.799,1348.003,5961.14
290,309.437,2.24876,95.1785,1254.52,13.4392,10.6176,5.65404,6.95253,8.22107,672.115,595.266,148.906,424.169,420.605,269.026,234.765,1706.2687,1416.287,1348.565,5963.02
295,309.847,2.15523,95.9054,1256.07,13.3365,10.7894,6.00272,6.50684,8.29643,670.844,597.748,148.784,426.822,420.384,268.574,234.549,1708.90952,1417.376,1350.329,5961.18
300,306.988,2.30347,93.4314,1251.26,13.6116,10.9454,5.80419,6.50872,7.97263,674.565,600.113,148.704,422.333,419.72,268.327,234.408,1698.82541,1423.382,1344.788,5961.44
305,305.701,2.37329,91.8809,1250.71,14.0756,11.5295,5.83592,6.9514,7.73671,675.908,603.998,148.818,422.928,420.613,268.43,234.383,1696.79432,1428.724,1346.354,5964.25
310,306.128,3.00279,92.261,1250.03,13.3522,11.7538,5.64328,7.09052,7.88167,676.228,603.608,148.794,421.717,420,268.498,234.309,1697.14326,1428.63,1344.524,5965.31
315,306.449,2.59818,93.2069,1248.42,14.2029,11.9647,5.87917,7.35842,7.96458,675.988,602.556,148.538,421.357,419.602,268.2,233.994,1698.04385,1427.082,1343.153,5964.6
