#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(0.90286037,0.76790933)","",
69,68.00000000,259.69040785,0.00000000,0.00000000,0.00000000,177.97339118,0.00000000,12.32729942,0.00000000,
70,69.00000000,259.71652350,0.00000000,0.00000000,0.00000000,177.30187679,0.00000000,11.20104758,0.00000000,
71,70.00000000,259.84939516,0.00000000,0.00000000,0.00000000,177.83395733,0.00000000,11.77297506,0.00000000,
72,71.00000000,260.16726519,0.00000000,0.00000000,0.00000000,178.01712170,0.00000000,11.83821643,0.00000000,
73,72.00000000,258.55199051,0.00000000,0.00000000,0.00000000,176.81041960,0.00000000,12.00284901,0.00000000,
74,73.00000000,258.74603358,0.00000000,0.00000000,0.00000000,177.92032613,0.00000000,12.32477152,0.00000000,
75,74.00000000,260.04055471,0.00000000,0.00000000,0.00000000,178.10349981,0.00000000,11.40270176,0.00000000,
76,75.00000000,259.29519993,0.00000000,0.00000000,0.00000000,177.05618063,0.00000000,11.46082764,0.00000000,
77,76.00000000,258.37754462,0.00000000,0.00000000,0.00000000,177.15111518,0.00000000,11.89359333,0.00000000,
78,77.00000000,259.58826315,0.00000000,0.00000000,0.00000000,178.01199327,0.00000000,12.56327102,0.00000000,
79,78.00000000,259.53581465,0.00000000,0.00000000,0.00000000,177.63869444,0.00000000,11.64074093,0.00000000,
80,79.00000000,258.73595152,0.00000000,0.00000000,0.00000000,177.01904451,0.00000000,11.82864474,0.00000000,
81,80.00000000,258.79418962,0.00000000,0.00000000,0.00000000,177.55455691,0.00000000,12.07496166,0.00000000,
82,81.00000000,259.37907627,0.00000000,0.00000000,0.00000000,177.71210394,0.00000000,13.50880454,0.00000000,
83,82.00000000,259.12853902,0.00000000,0.00000000,0.00000000,177.37547140,0.00000000,12.30227289,0.00000000,
84,83.00000000,258.32307401,0.00000000,0.00000000,0.00000000,177.02224983,0.00000000,12.25789594,0.00000000,
