ARR_DATA(I)			Integral(5.434,5.394)				Integral(5.255,5.224)				Integral(4.671,4.619)		Integral(4.027,3.987)		
9563	0	0	119.271	0	0	0	36.0142	0	0	0	305.643	0	25.7791	0	
9653	0	0	119.121	0	0	0	36.5455	0	0	0	306.821	0	25.7033	0	
9742	0	0	119.259	0	0	0	36.6014	0	0	0	305.778	0	25.99	0	
9831	0	0	118.972	0	0	0	36.5	0	0	0	307.31	0	26.1693	0	
9920	0	0	118.666	0	0	0	36.1429	0	0	0	304.026	0	25.9845	0	
10011	0	0	118.566	0	0	0	36.2535	0	0	0	306.54	0	26.2359	0	
10099	0	0	118.401	0	0	0	36.4875	0	0	0	305.239	0	26.3291	0	
10189	0	0	118.392	0	0	0	36.4191	0	0	0	304.67	0	26.339	0	
10281	0	0	118.399	0	0	0	36.4132	0	0	0	306.112	0	26.4544	0	
10371	0	0	118.144	0	0	0	36.5801	0	0	0	306.095	0	26.5334	0	
10461	0	0	118.024	0	0	0	36.3591	0	0	0	306.03	0	26.6194	0	
10551	0	0	118.123	0	0	0	36.9064	0	0	0	309.856	0	26.6407	0	
10644	0	0	118.224	0	0	0	37.0847	0	0	0	308.348	0	26.9316	0	
10736	0	0	117.873	0	0	0	36.6396	0	0	0	307.676	0	27.0609	0	
10827	0	0	117.743	0	0	0	36.7187	0	0	0	306.537	0	27.0182	0	
10917	0	0	117.353	0	0	0	36.569	0	0	0	307.179	0	27.1545	0	
11007	0	0	117.348	0	0	0	36.5688	0	0	0	307.289	0	27.2312	0	
11095	0	0	117.391	0	0	0	36.8416	0	0	0	308.124	0	27.3377	0	
11188	0	0	117.306	0	0	0	36.9454	0	0	0	310.166	0	27.2545	0	
11277	0	0	117.326	0	0	0	37.1565	0	0	0	311.19	0	27.6663	0	
11365	0	0	117.138	0	0	0	36.7083	0	0	0	307.468	0	27.8339	0	
11462	0	0	117.872	0	0	0	38.3278	0	0	0	321.559	0	28.4	0	
11552	0	0	116.875	0	0	0	36.8168	0	0	0	307.132	0	27.6512	0	
11645	0	0	116.555	0	0	0	36.831	0	0	0	307.916	0	27.9592	0	
11739	0	0	117.355	0	0	0	38.429	0	0	0	320.622	0	28.5379	0	
11833	0	0	116.599	0	0	0	37.3237	0	0	0	308.72	0	28.212	0	
11926	0	0	116.182	0	0	0	36.9876	0	0	0	311.483	0	28.3484	0	
12016	0	0	116.013	0	0	0	36.8084	0	0	0	307.643	0	28.4445	0	
12108	0	0	116.012	0	0	0	37.1227	0	0	0	308.842	0	28.1256	0	
12197	0	0	115.773	0	0	0	36.7987	0	0	0	306.389	0	28.4285	0	
12287	0	0	115.855	0	0	0	37.0725	0	0	0	308.016	0	28.6481	0	
12380	0	0	115.861	0	0	0	37.3255	0	0	0	309.606	0	28.5146	0	
12470	0	0	115.715	0	0	0	37.6148	0	0	0	312.561	0	28.8134	0	
12562	0	0	115.469	0	0	0	37.1547	0	0	0	309.885	0	28.9232	0	
12653	0	0	115.306	0	0	0	36.789	0	0	0	310.247	0	28.9214	0	
