czas,sacharoza,alfa-glukoza,beta-glukoza,fruktoza,cale widmo
czas (s),"Integral(5.246521,5.185803)","Integral(5.056501,5.013715)","Integral(4.465992,4.419116)","Integral(3.805767,3.776692)","Integral(6.174450,1.387072)"
1905,31.5654,2.61136,0.614508,7.97899,865.085
1910,31.5425,2.58339,0.613652,8.77188,824.611
1915,31.5387,2.43551,0.615008,8.55061,907.309
1920,30.2193,2.4308,0.631838,9.86797,890.307
1925,28.2109,2.43153,0.636259,9.30442,835.79
1930,31.4133,2.58415,0.610044,8.93978,951.684
1935,29.3931,2.45399,0.637014,9.23196,936.321
1940,30.133,2.45545,0.64027,8.65919,930.188
1945,31.3869,2.64642,0.648543,8.10257,929.594
1950,31.1792,2.45256,0.640959,8.24487,968.7
1955,28.0476,2.45229,0.64218,9.00054,941.46
1960,29.1701,2.58343,0.632409,8.86682,894.632
1965,31.0328,2.46531,0.642413,8.7867,913.223
1970,31.0342,2.60911,0.651797,8.97551,933.798
1975,30.9672,2.47781,0.652808,8.46131,937.467
1980,30.8925,2.49575,0.636968,8.85189,935.027
1985,28.6926,2.491,0.658272,7.78365,926.792
1990,30.8707,2.49556,0.658902,9.37685,917.376
1995,28.6537,2.59854,0.634152,8.2163,935.793
2000,30.79,2.50899,0.659814,9.61373,852.028
2005,28.5167,2.49934,0.63534,9.17478,940.812
2010,28.5037,2.51672,0.657303,9.99229,937.587
2015,28.4916,2.55724,0.640926,9.33919,898.789
2020,30.608,2.65666,0.646724,8.11853,938.784
2025,28.3855,2.51322,0.656368,9.52099,933.387
2030,29.2883,2.75331,0.665427,9.36669,867.431
2035,30.4193,2.53885,0.664992,9.41979,856.02
2040,27.3835,2.6199,0.667425,11.3376,925.511
2045,28.159,2.53999,0.654231,10.0556,916.338
2050,28.2242,2.54094,0.688138,8.59516,886.891
2055,28.3995,2.64444,0.666966,9.77336,853.61
2060,28.3529,2.5445,0.673686,8.89214,826.178
2065,28.0953,2.56393,0.668512,8.99745,883.852
2070,30.1823,2.5519,0.651121,9.92025,942.403
2075,30.2093,2.66051,0.660324,9.07675,932.33
2080,28.0462,2.55992,0.673885,9.84836,904.871
2085,28.0005,2.56964,0.701147,10.131,873.746
2090,27.8954,2.58157,0.677838,10.3381,876.24
2095,27.9206,2.57476,0.678747,10.0615,895.446
2100,26.9451,2.57825,0.661076,9.17198,817.518
2105,29.9319,2.59596,0.70168,8.76742,918.217
2110,28.6781,2.62507,0.684242,10.3899,914.11
2115,27.9153,2.72075,0.682554,11.3283,806.329
2120,28.5725,2.59109,0.687309,9.44532,880.637
2125,29.6776,2.60456,0.713481,9.12917,920.178
2130,27.6816,2.61511,0.708051,9.85352,867.152
2135,29.639,2.60919,0.715596,9.36941,787.191
2140,27.5539,2.65166,0.691943,10.5968,901.685
2145,28.4813,2.77704,0.677312,8.61491,870.747
2150,29.4832,2.62587,0.713299,8.36302,870.28
2155,29.4259,2.61669,0.71356,9.61783,797.63
2160,27.6245,2.77766,0.695283,10.2167,878.883
2165,27.326,2.6528,0.697134,9.16014,894.926
2170,28.2381,2.63295,0.706905,9.53653,894.744
