saccharose	alpha-glucose	beta-glucose	fructose
23.8609	3.076	0.955004	13.6154
21.4473	3.22755	0.925598	16.4466
23.8117	3.19887	0.932012	14.3685
22.9698	3.13013	0.942728	13.5469
23.808	3.18481	0.911916	15.7561
22.9539	3.23409	0.934597	15.5051
21.8122	3.26261	0.931905	14.8197
21.2856	3.26491	0.960554	13.6083
22.8671	3.25464	0.912603	16.304
21.2201	3.26052	0.940921	14.2426
21.2019	3.25829	0.944619	15.7715
22.7483	3.22761	0.949031	14.7961
22.7625	3.22817	0.964543	14.9064
21.1266	3.26758	0.961721	15.7934
23.4258	3.12731	0.973187	14.6919
23.3971	3.3425	0.94537	14.9443
22.625	3.08672	0.922524	15.8147
22.1192	3.17403	0.917925	14.6011
20.9994	3.34563	0.958488	15.3061
20.913	3.31513	0.974233	14.6322
21.2183	3.19165	0.920538	14.0537
23.1876	3.39979	0.845383	16.3121
22.3697	3.26403	0.92885	16.0805
20.8067	3.31033	0.949235	15.3567
20.8474	3.21141	0.986323	16.2701
21.1163	3.16492	0.985633	14.7188
20.7564	3.10486	0.981545	15.827
20.7384	3.28851	0.941701	16.1823
21.7328	3.10492	0.938636	15.2696
20.6673	3.24022	0.944862	14.3542
20.6198	3.23631	0.978617	16.1118
19.9213	3.29422	0.982144	14.5876
22.8854	3.33028	0.989493	13.7033
22.0355	3.29761	0.969518	15.2013
21.5168	3.34753	0.937929	17.0678
20.4688	3.25666	0.956319	14.6977
19.8571	3.31163	0.956482	14.7707
20.7254	3.30152	0.965763	15.3457
21.9072	3.32162	0.990552	17.0431
21.3604	3.08102	1.04718	14.8427
20.3732	3.33059	0.976975	14.826
20.3287	3.43927	0.949798	15.9147
21.7607	3.15434	0.99124	14.926
21.4748	3.27593	0.957642	15.7472
21.4138	3.33842	1.0161	16.2272
20.6556	3.29585	0.985853	16.8551
21.2198	3.32743	0.957893	15.0686
20.1686	3.29061	0.964601	16.9713
19.4129	3.30095	1.00179	16.107
20.12	3.38764	0.960286	15.0858
21.1738	3.30374	0.977743	16.5068
20.0459	3.47868	1.02759	16.7642
20.3084	3.31751	0.994455	14.9371
19.3565	3.29748	0.996327	15.7209
20.9531	3.30159	0.984914	16.496
20.9546	3.36181	1.00628	16.575
19.9387	3.48613	1.00493	16.4848
20.9042	3.25868	1.00605	16.7463
20.8892	3.38269	0.969708	16.7563
19.1832	3.31998	1.02566	16.6459
20.1783	3.32194	0.969127	15.6212
19.7348	3.50749	0.98112	15.8123
20.7134	3.38844	1.01755	16.6984
20.03	3.35071	0.980101	16.3873
19.0147	3.34538	1.02652	15.998
19.9403	3.34688	0.98685	15.1557
20.018	3.33416	0.980348	15.7118
20.6894	3.3506	0.984755	16.0882
18.8621	3.35457	1.02161	16.5196
19.9535	3.34638	1.02122	15.7804
19.4823	3.36344	1.01587	16.0286
20.6065	3.31614	1.03302	15.6737
18.81	3.36577	0.988329	16.114
19.8401	3.35042	0.983052	17.5845
20.3653	3.37171	1.03812	15.3796
19.3937	3.45349	1.05312	15.5134
18.702	3.48787	0.999556	15.6741
19.7516	3.44396	1.00173	17.1097
20.2811	3.49715	1.03627	14.9211
18.6461	3.56508	1.06662	15.7992
19.2442	3.40393	1.00533	15.7379
18.6147	3.36503	1.0262	16.4485
19.5866	3.35434	1.00561	15.8227
20.0955	3.30176	1.0353	16.1966
18.4387	3.33514	0.994703	15.6062
19.122	3.39335	1.03028	17.0835
20.0683	3.42175	1.01376	16.4709
19.0048	3.31455	0.988072	15.9665
19.264	3.48255	1.00628	15.7246
19.3332	3.4985	1.03556	16.0944
18.986	3.30011	0.923384	16.8863
19.8657	3.32473	0.957546	17.0154
19.947	3.32512	1.00352	15.2708
18.8958	3.42229	1.05296	16.0655
19.923	3.4363	1.01563	16.7646
19.8126	3.44827	1.05392	17.6079
19.8609	3.3268	1.02372	15.9076
18.1732	3.54659	1.06656	17.1303
20.0763	3.2086	1.02087	15.9882
19.0928	3.40442	1.0718	15.4706
19.7508	3.4301	1.02861	16.5903
18.6736	3.33827	1.01482	16.4033
18.7026	3.46891	1.0584	15.2085
19.6589	3.3541	1.03072	15.0885
17.9761	3.45957	1.02361	15.7845
19.5398	3.5733	1.06018	15.4487
19.4835	3.45924	1.00331	17.758
19.536	3.35208	1.02397	16.1091
19.4133	3.67247	1.05451	15.5127
17.8191	3.46859	1.02518	16.8516
19.713	3.67381	1.06209	15.2721
17.8407	3.48605	1.06111	16.0476
17.7901	3.37247	1.03292	16.317
18.6401	3.49174	1.02395	16.3075
18.3528	3.60964	1.03012	15.7374
18.3356	3.45572	1.04956	16.7824
19.3125	3.70771	1.03718	16.2458
18.6521	3.27184	1.04269	17.4027
18.2964	3.62914	1.04943	16.9242
18.4803	3.49831	1.04296	15.9936
20.1839	3.53239	1.07269	16.1279
18.1628	3.38091	1.04507	17.3165
18.1864	3.60984	1.05176	15.3478
18.3693	3.51794	1.05515	16.2003
