ARR_DATA(I)	Integral(5.444,5.381)		Integral(5.258,5.220)		Integral(4.667,4.622)		Integral(4.013,3.980)		
12837	40.1776	0	1.25725	0	0.226805	0	4.02498	0	
12929	41.939	0	1.34743	0	0.224697	0	4.11716	0	
13019	43.2661	0	1.31142	0	0.2303	0	4.54622	0	
13111	41.8855	0	1.32845	0	0.234547	0	4.43011	0	
13200	43.1097	0	1.28346	0	0.227382	0	4.20028	0	
13292	39.8388	0	1.32228	0	0.236705	0	4.50883	0	
13385	42.968	0	1.34026	0	0.240793	0	4.46819	0	
13474	42.9486	0	1.3435	0	0.237344	0	4.69886	0	
13563	43.0133	0	1.34803	0	0.243214	0	4.35641	0	
13652	42.8429	0	1.37716	0	0.243477	0	4.13003	0	
13742	42.7696	0	1.37562	0	0.246922	0	4.74855	0	
13834	42.7749	0	1.36956	0	0.249204	0	4.54425	0	
13925	42.7033	0	1.36976	0	0.250414	0	4.72772	0	
14014	42.6705	0	1.44438	0	0.252313	0	4.3421	0	
14102	39.7008	0	1.34605	0	0.253465	0	4.61839	0	
14192	39.6013	0	1.32994	0	0.253387	0	5.10396	0	
14281	41.2422	0	1.40917	0	0.265312	0	4.51782	0	
14372	42.4508	0	1.39306	0	0.270408	0	5.03327	0	
14461	42.4492	0	1.42556	0	0.271593	0	4.55774	0	
14552	42.3201	0	1.40495	0	0.262609	0	4.95304	0	
14642	39.305	0	1.41275	0	0.261976	0	5.3656	0	
14732	39.3613	0	1.42422	0	0.2678	0	4.9678	0	
14822	42.1114	0	1.43018	0	0.269246	0	5.28782	0	
14914	42.0974	0	1.42857	0	0.271954	0	5.71614	0	
15002	42.1053	0	1.45754	0	0.281872	0	5.34521	0	
15093	40.7857	0	1.46159	0	0.273271	0	5.56673	0	
15184	41.9824	0	1.46306	0	0.285585	0	5.76142	0	
15276	39.0529	0	1.50635	0	0.278544	0	5.48771	0	
15366	41.8602	0	1.47347	0	0.288571	0	4.95377	0	
15455	40.54	0	1.41552	0	0.278731	0	5.37727	0	
15545	41.8257	0	1.49548	0	0.284232	0	5.50136	0	
15634	41.664	0	1.49156	0	0.293727	0	5.64318	0	
15723	38.5564	0	1.48012	0	0.286058	0	5.26232	0	
15815	41.5729	0	1.53836	0	0.287297	0	5.4153	0	
15906	41.4794	0	1.53828	0	0.300825	0	5.28337	0	
15994	41.5591	0	1.53646	0	0.288492	0	5.46498	0	
16083	41.5494	0	1.53277	0	0.285652	0	5.52655	0	
16172	41.3856	0	1.52405	0	0.280218	0	5.2994	0	
16261	38.5762	0	1.48103	0	0.279799	0	5.89722	0	
16354	38.4989	0	1.55027	0	0.285901	0	5.8205	0	
16447	38.2767	0	1.55682	0	0.291388	0	5.52802	0	
16538	41.1779	0	1.53969	0	0.299103	0	5.82155	0	
16638	41.0929	0	1.54463	0	0.297354	0	6.19131	0	
16727	41.0626	0	1.57695	0	0.297187	0	5.4182	0	
16820	38.3089	0	1.61662	0	0.300448	0	5.61238	0	
16912	39.7113	0	1.62153	0	0.304349	0	6.093	0	
17001	40.8512	0	1.5845	0	0.291499	0	5.87441	0	
17097	40.7881	0	1.55856	0	0.294406	0	5.76162	0	
17185	40.8408	0	1.60284	0	0.316602	0	6.22395	0	
17283	39.4335	0	1.56339	0	0.29107	0	6.15404	0	
17374	39.5165	0	1.63313	0	0.298546	0	5.70452	0	
17466	40.6183	0	1.60346	0	0.307698	0	6.05732	0	
17555	37.6656	0	1.59435	0	0.312691	0	6.45706	0	
17645	40.579	0	1.57564	0	0.316269	0	5.80779	0	
17733	37.8993	0	1.6467	0	0.330504	0	6.17968	0	
17821	39.2036	0	1.67583	0	0.318272	0	5.71526	0	
17915	36.5752	0	1.6226	0	0.332007	0	6.21713	0	
18006	39.0691	0	1.57013	0	0.331624	0	7.02336	0	
18096	37.4233	0	1.64379	0	0.322086	0	6.13031	0	
18185	39.0585	0	1.66799	0	0.333381	0	6.43547	0	
18279	37.3408	0	1.61258	0	0.325944	0	6.63658	0	
18371	40.1589	0	1.64826	0	0.328343	0	6.57309	0	
18461	40.0518	0	1.67544	0	0.330428	0	6.61475	0	
18555	40.0778	0	1.66582	0	0.331696	0	6.0071	0	
18647	39.9478	0	1.69464	0	0.331146	0	6.02376	0	
18736	39.9586	0	1.71337	0	0.345092	0	5.75464	0	
18826	39.8333	0	1.76339	0	0.335521	0	6.18925	0	
18918	39.7761	0	1.68872	0	0.349652	0	6.84978	0	
19009	36.1092	0	1.71082	0	0.349813	0	6.94202	0	
19100	39.7612	0	1.69799	0	0.340079	0	6.7301	0	
19190	39.7099	0	1.71497	0	0.343714	0	6.33016	0	
19279	39.5838	0	1.73642	0	0.353696	0	6.03634	0	
19369	39.5849	0	1.79592	0	0.355648	0	6.32536	0	
19459	36.629	0	1.77299	0	0.356646	0	6.66784	0	
19550	39.4436	0	1.73607	0	0.34134	0	6.24746	0	
19643	39.3672	0	1.74303	0	0.355986	0	6.92007	0	
19735	39.2858	0	1.689	0	0.343875	0	6.06896	0	
19827	39.2762	0	1.75101	0	0.361506	0	6.47121	0	
19919	39.1905	0	1.83957	0	0.361531	0	6.27221	0	
20011	39.2005	0	1.73546	0	0.36012	0	6.3541	0	
20102	36.4519	0	1.75834	0	0.369746	0	6.16459	0	
20191	39.0725	0	1.85061	0	0.376339	0	6.24684	0	
20283	39.0367	0	1.84211	0	0.373835	0	6.34838	0	
20372	38.9254	0	1.7588	0	0.364059	0	6.16392	0	
20461	38.9477	0	1.76931	0	0.370208	0	6.91694	0	
20551	36.41	0	1.79466	0	0.366626	0	6.72826	0	
20640	36.1753	0	1.78496	0	0.381407	0	7.53879	0	
20732	36.0987	0	1.8243	0	0.380438	0	6.81136	0	
20824	38.6795	0	1.81119	0	0.379657	0	6.70372	0	
20913	38.6447	0	1.82531	0	0.386356	0	6.59756	0	
21006	38.5636	0	1.84428	0	0.387692	0	6.44255	0	
21096	37.3861	0	1.82661	0	0.394311	0	6.24815	0	
21187	37.2838	0	1.83194	0	0.395323	0	6.71063	0	
21277	38.3724	0	1.83679	0	0.379758	0	6.43262	0	
21367	37.1699	0	1.81371	0	0.384258	0	6.03402	0	
21455	38.3258	0	1.85215	0	0.394561	0	6.20896	0	
21547	38.1712	0	1.79729	0	0.400098	0	6.31164	0	
21619	35.7691	0	1.85193	0	0.405805	0	6.32557	0	
21718	38.068	0	1.7778	0	0.400879	0	6.17546	0	
21810	38.0742	0	1.87173	0	0.402031	0	6.2354	0	
21902	38.0111	0	1.87473	0	0.405585	0	7.27241	0	
21996	35.5781	0	1.86453	0	0.391624	0	5.87283	0	
22088	35.5637	0	1.89574	0	0.412062	0	6.98501	0	
22177	37.9329	0	1.89168	0	0.410105	0	6.78172	0	
22267	37.8514	0	1.89069	0	0.410442	0	6.3825	0	
22357	37.7996	0	1.89519	0	0.411574	0	6.89513	0	
22448	37.7602	0	1.911	0	0.413237	0	6.29638	0	
22538	37.7124	0	1.89122	0	0.407366	0	7.03864	0	
22630	35.25	0	1.85217	0	0.403935	0	6.7481	0	
22720	36.409	0	1.98262	0	0.417139	0	6.9517	0	
22810	37.567	0	1.976	0	0.418217	0	6.27638	0	
22900	35.1169	0	1.9054	0	0.425076	0	6.56664	0	
22992	37.3638	0	1.92827	0	0.422568	0	6.2316	0	
23085	36.173	0	2.00191	0	0.422492	0	6.81674	0	
23174	37.3003	0	1.95728	0	0.441588	0	6.88538	0	
23266	37.3401	0	1.93167	0	0.43096	0	7.00345	0	
23358	37.1707	0	1.94596	0	0.445089	0	7.3535	0	
23448	37.1564	0	1.96934	0	0.429977	0	7.60349	0	
23540	34.8365	0	1.97321	0	0.438501	0	7.02859	0	
23632	37.0994	0	1.96859	0	0.434972	0	6.67754	0	
23724	34.6825	0	2.01654	0	0.430856	0	7.80145	0	
23813	34.5005	0	1.97702	0	0.447149	0	7.16619	0	
23905	35.783	0	1.99255	0	0.441838	0	7.19005	0	
23995	34.6083	0	2.00433	0	0.458971	0	7.43092	0	
24087	34.3686	0	1.92797	0	0.445135	0	7.5669	0	
24176	34.534	0	2.01661	0	0.457064	0	7.12801	0	
24266	36.7808	0	2.00245	0	0.446909	0	6.25422	0	
24357	36.746	0	1.94763	0	0.44131	0	7.34342	0	
24449	35.4629	0	2.02105	0	0.44244	0	7.64673	0	
24542	34.1032	0	2.0252	0	0.452546	0	7.34893	0	
24631	35.3487	0	2.03709	0	0.453318	0	7.52928	0	
24723	36.488	0	1.97419	0	0.456494	0	7.24775	0	
24815	33.9959	0	2.03799	0	0.470215	0	7.02115	0	
24905	36.4067	0	2.12028	0	0.461456	0	7.63556	0	
24993	36.3691	0	2.10753	0	0.458337	0	6.78073	0	
25083	32.7692	0	2.05317	0	0.470081	0	7.14695	0	
25172	36.2282	0	2.06494	0	0.468065	0	7.27982	0	
25264	36.1655	0	2.15334	0	0.46723	0	8.07699	0	
25354	33.9131	0	2.10906	0	0.478502	0	7.44573	0	
25443	36.0912	0	2.06825	0	0.483981	0	7.95146	0	
25535	34.8988	0	2.07454	0	0.495166	0	7.95036	0	
25627	36.0353	0	2.0745	0	0.46643	0	8.02045	0	
25720	35.845	0	2.0499	0	0.471342	0	7.16251	0	
25809	35.8405	0	2.06727	0	0.472864	0	8.01883	0	
25898	32.3656	0	2.10392	0	0.495226	0	6.95232	0	
25989	33.4219	0	2.11618	0	0.491536	0	8.67872	0	
26080	35.7918	0	2.09884	0	0.475482	0	8.0517	0	
26169	33.5491	0	2.21882	0	0.499842	0	8.09561	0	
26261	35.6606	0	2.12328	0	0.499514	0	8.44037	0	
26350	34.4983	0	2.11721	0	0.501542	0	7.26997	0	
26441	35.5422	0	2.05299	0	0.48328	0	8.13496	0	
26530	34.3951	0	2.19198	0	0.49614	0	6.24529	0	
26619	35.473	0	2.12846	0	0.504004	0	7.84507	0	
26710	35.4989	0	2.14753	0	0.506235	0	8.506	0	
26802	33.191	0	2.14752	0	0.505088	0	7.26153	0	
26893	35.348	0	2.21853	0	0.519401	0	7.12741	0	
26986	35.2657	0	2.15337	0	0.509262	0	8.54545	0	
27077	35.1985	0	2.15774	0	0.523113	0	7.63168	0	
27170	35.1366	0	2.22144	0	0.496974	0	6.57658	0	
27260	31.9156	0	2.14302	0	0.516868	0	7.76304	0	
27349	35.0301	0	2.10055	0	0.516816	0	7.32103	0	
27441	34.9161	0	2.18656	0	0.521089	0	6.96392	0	
27532	34.9244	0	2.25544	0	0.519745	0	7.98142	0	
27622	34.9068	0	2.18635	0	0.502114	0	7.16876	0	
27714	34.8514	0	2.20484	0	0.533989	0	7.52592	0	
27806	34.828	0	2.10246	0	0.5256	0	6.47486	0	
27903	34.6304	0	2.18729	0	0.520804	0	7.19932	0	
27995	34.7666	0	2.21518	0	0.514185	0	8.14266	0	
28083	34.6812	0	2.22037	0	0.508802	0	7.15541	0	
28173	34.5941	0	2.2443	0	0.529087	0	7.19715	0	
28266	32.3207	0	2.14644	0	0.513899	0	6.92082	0	
28358	33.457	0	2.15313	0	0.518318	0	7.19343	0	
28447	34.4187	0	2.3203	0	0.5469	0	7.18201	0	
28539	33.2558	0	2.22488	0	0.538204	0	6.86591	0	
28631	34.3204	0	2.32065	0	0.550534	0	6.60002	0	
28720	34.318	0	2.31486	0	0.551542	0	7.85147	0	
28815	34.1886	0	2.31685	0	0.541016	0	6.54144	0	
28908	34.2387	0	2.34191	0	0.54291	0	7.49894	0	
28999	34.1684	0	2.2519	0	0.547223	0	6.51555	0	
29089	34.1433	0	2.32405	0	0.557682	0	7.88625	0	
29181	32.9715	0	2.34308	0	0.562874	0	7.8112	0	
29273	33.9985	0	2.35488	0	0.560689	0	6.86786	0	
29370	32.7975	0	2.34544	0	0.542261	0	6.68783	0	
29461	33.9709	0	2.26172	0	0.535354	0	6.3879	0	
29549	31.8719	0	2.28605	0	0.535445	0	7.47802	0	
29638	33.8158	0	2.22606	0	0.555032	0	7.44665	0	
29732	32.627	0	2.30563	0	0.551014	0	7.95045	0	
29823	33.7742	0	2.22736	0	0.554815	0	7.5708	0	
29915	33.7009	0	2.22729	0	0.558972	0	6.33795	0	
30006	33.6769	0	2.3178	0	0.54556	0	6.72034	0	
30097	31.479	0	2.31467	0	0.563433	0	7.15723	0	
30189	33.5606	0	2.24024	0	0.56282	0	7.33101	0	
30280	33.4507	0	2.29863	0	0.581906	0	7.93965	0	
30372	31.3093	0	2.40583	0	0.568757	0	7.45422	0	
30462	32.2835	0	2.32584	0	0.567674	0	6.79321	0	
30554	31.2276	0	2.43296	0	0.552119	0	7.91291	0	
30644	31.3839	0	2.42384	0	0.547509	0	7.40538	0	
30736	31.3082	0	2.35901	0	0.554988	0	6.59401	0	
30827	31.2693	0	2.3785	0	0.556493	0	7.5367	0	
30917	29.1709	0	2.44414	0	0.557647	0	8.71205	0	
31009	33.0898	0	2.37119	0	0.573447	0	7.34839	0	
31101	31.0986	0	2.44341	0	0.559288	0	7.52113	0	
31193	30.8838	0	2.44365	0	0.579418	0	7.50602	0	
31291	29.0346	0	2.4478	0	0.554474	0	8.16119	0	
31383	32.8931	0	2.38984	0	0.579988	0	7.4556	0	
31474	31.8149	0	2.30725	0	0.597926	0	6.54689	0	
31563	31.0184	0	2.47754	0	0.566295	0	6.58677	0	
31655	31.7897	0	2.31932	0	0.603284	0	7.27801	0	
31745	31.6689	0	2.32393	0	0.590467	0	7.59718	0	
31835	31.6414	0	2.29351	0	0.590875	0	7.36343	0	
31928	31.5691	0	2.32976	0	0.590914	0	7.3691	0	
32018	30.7171	0	2.50535	0	0.592982	0	8.36322	0	
32108	32.5885	0	2.3405	0	0.577468	0	8.21621	0	
32198	30.4885	0	2.34788	0	0.60938	0	6.95132	0	
32287	30.6416	0	2.52426	0	0.60181	0	7.26509	0	
32378	31.3199	0	2.33667	0	0.599938	0	8.47114	0	
32470	30.5355	0	2.35752	0	0.611546	0	8.49124	0	
32562	30.4478	0	2.52387	0	0.596416	0	7.47272	0	
32654	30.2634	0	2.37124	0	0.613982	0	8.48349	0	
32746	32.2958	0	2.52899	0	0.5866	0	7.71975	0	
32839	30.2205	0	2.37009	0	0.621522	0	8.17303	0	
