time (sec) 	Integral(3.131,2.927)	A+B*x A= 10.0498 B= 0.000526739	
57957	44.0397	40.5781	
58046	41.868	40.6249	
58138	42.5565	40.6734	
58230	43.0257	40.7219	
58323	43.6104	40.7708	
58415	43.9119	40.8193	
58508	43.6495	40.8683	
58600	41.9942	40.9168	
58690	43.9879	40.9642	
58783	42.2527	41.0131	
58874	42.9982	41.0611	
58963	43.9975	41.108	
59054	44.0504	41.1559	
59145	43.3438	41.2038	
59235	43.4854	41.2512	
59324	42.839	41.2981	
59414	44.4191	41.3455	
59503	41.6398	41.3924	
59592	43.861	41.4393	
59681	43.2042	41.4862	
59766	44.3954	41.5309	
59867	44.1387	41.5841	
59959	45.2958	41.6326	
60051	46.2951	41.6811	
60143	43.7244	41.7295	
60233	46.4639	41.7769	
60324	43.8574	41.8249	
60416	46.2222	41.8733	
60508	44.4477	41.9218	
60602	43.8869	41.9713	
60691	44.745	42.0182	
60782	44.875	42.0661	
60873	43.8173	42.114	
60965	45.0268	42.1625	
61054	44.6943	42.2094	
61144	44.9152	42.2568	
61234	44.4259	42.3042	
61325	45.6852	42.3521	
61417	45.6317	42.4006	
61508	44.7992	42.4485	
61600	43.6394	42.497	
61692	44.7397	42.5454	
61780	45.0097	42.5918	
61871	45.7753	42.6397	
61964	44.8102	42.6887	
62053	45.0942	42.7356	
62143	44.4489	42.783	
62233	44.3204	42.8304	
62322	45.2717	42.8773	
62410	44.6617	42.9236	
62500	45.2509	42.971	
62593	45.3972	43.02	
62681	45.9115	43.0664	
62774	44.8318	43.1154	
62862	44.7358	43.1617	
62951	45.2623	43.2086	
63042	45.3387	43.2565	
63135	46.6745	43.3055	
63227	46.0395	43.354	
63317	43.9316	43.4014	
63407	45.7502	43.4488	
63499	46.4802	43.4972	
63591	45.6359	43.5457	
63680	46.0358	43.5926	
63770	45.0347	43.64	
63862	46.4052	43.6885	
63950	47.1337	43.7348	
64042	45.7632	43.7833	
64131	46.3797	43.8301	
64223	45.515	43.8786	
64314	46.6985	43.9265	
64403	45.7521	43.9734	
64492	43.4939	44.0203	
64582	46.0629	44.0677	
64671	46.8299	44.1146	
64764	46.1522	44.1636	
64853	46.7569	44.2105	
64943	45.3441	44.2579	
65033	47.1468	44.3053	
65125	45.4453	44.3537	
65214	46.2317	44.4006	
65306	46.1894	44.4491	
65399	47.2198	44.4981	
65491	47.5747	44.5465	
65588	46.892	44.5976	
